prefix,title,language,abstract,de:abstract,keywords,de:keywords,doi,issueDatepublished,issueVolume,issueNumber,issueYear,issueTitle,sectionTitle,sectionAbbrev,pages,articleSeq,authorFirstname1,authorLastname1,authorFirstname2,authorLastname2,authorFirstname3,authorLastname3,authorFirstname4,authorLastname4,authorFirstname5,authorLastname5,authorFirstname6,authorLastname6,authorFirstname7,authorLastname7,authorFirstname8,authorLastname8,authorFirstname9,authorLastname9,authorFirstname10,authorLastname10,authorFirstname11,authorLastname11,file1,fileLabel1,fileGenre1,fileLocale1
,Agrar-Bioterrorismus: Eine neue Gefahr für Verbraucher und Ernährungswirtschaft?,de_DE,"Dieser Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2003-01-29,52,2,2003,,Articles,ART,,1,Harald,von Witzke,,,,,,,,,,,,,,,,,,,,,126_org.pdf,PDF,Article Text,de
,Unternehmensführung und Unternehmenserfolg,en_US,Management and Entrepreneurial SuccessStarting point of the analysis are theoretical considerations about multi-causal reasons of the management influence on the entrepreneurial success. In the further continuation an economic model illustrating the guidance idea of multi-causality is presented as well as a statistical evaluation method coordinated with it. Basis for the statistical illustration of the multi-causal context is an causal-analytic evaluation procedure. A priori formulated causal relations between not observable exogenous and endogenous variables are illustrated by a structural model. The structural model corresponds to the logical starting point of the regression analysis to provide documentary evidence of cause and effect relations. The latent variables of the regression-analytic part are measured by observed indicator variables.The measuring model itself is closely related to the logical starting point of the factor analysis. The causal-analytic evaluation procedure thus links the measuring models with cause and effect models.The formulation and examination of hypotheses are explained by case studies as a result of limited data. It refers only to the context between the market-focused management and the entrepreneurial success on the one hand as well as production and technology-oriented management and the entrepreneurial success on the other. Further unresolved tasks like further dimensions of the management - like employee orientation or financial orientation - have to be analysed more in detail. This task also gains significance because changes in the relative relevance of the identified management dimensions are to be expected.,,,,,2003-01-29,52,2,2003,,Articles,ART,,2,Volker,Petersen,,,,,,,,,,,,,,,,,,,,,125_org.pdf,PDF,Article Text,en
,Die Quantifizierung von Marktrisiken in der Tierproduktion mittels Value-at-Risk und Extreme-Value-Theory,en_US,"Quantification of Market Risk in Livestock Production Using Value-at-Risk and Extreme-Value-TheoryThe objective of this paper is to investigate the performance of different Value-at-Risk (VaR) models in the context of risk assessment in hog production. The paper starts with a description of traditional VaR models, i.e. Variance-Covariance-Method (VCM) and Historical Simulation (HS). We address two well known problems, namely the fat tailedness of return distributions and the time aggregation of VaR forecasts. Afterwards, Extreme-Value-Theory (EVT) is introduced in order to overcome these problems. The previously described methods are then used to calculate the VaR of hog production under German market conditions. It turns out that EVT, VCM, and HS lead to different VaR forecasts if the return distributions are fat tailed and if the forecast horizon is long. Finally, we discuss the strengths and weaknesses of these rather new risk management methods thereby trying to identify fields for potential applications in the agribusiness.",,,,,2003-01-29,52,2,2003,,Articles,ART,,3,Martin,Odening,Jan,Hinrichs,,,,,,,,,,,,,,,,,,,128_org.pdf,PDF,Article Text,en
,Entkoppelte Direktzahlungen: Meilenstein auf dem Weg zu einer rationalen Wirtschaftspolitik und politische Entwaffnung der Agrarlobbyisten?,de_DE,"Dieser Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2003-03-17,52,3,2003,,Articles,ART,,1,Christian,Henning,,,,,,,,,,,,,,,,,,,,,148_org.pdf,PDF,Article Text,de
,Theory and Practice of Structural Change in Agriculture?,en_US,"The paper examines to which extent the theory of the farm household and the argument of path dependencies can be confirmed through recent empirical contributions on structural change in agriculture. In addition, a model is developed that explains structural change through occupational choices in favour or against farming. The validity of this model is challenged by empirical results, too. It can be shown that all three theoretical approaches contribute to explaining structural change in agriculture, which results to a coexistence of small and large farms if not hampered by political interference.",,,,,2003-03-17,52,3,2003,,Articles,ART,,2,Stefan,Mann,,,,,,,,,,,,,,,,,,,,,149_org.pdf,PDF,Article Text,en
,Basic Considerations of a Decoupling of Direct Payments within the EU,en_US,"This paper analyses theoretically the consequences of decoupling and argues for a wider discussion among agricultural economists and the public. Quantitative work on forecasting the consequences seems to be problematic in general. We ask, if the allocation of land will change that dramatically, in particular, we wonder whether set-aside will increase that much as some research and statements argue if direct payments are abolished or decoupled from land use. Taking into account economies of scale that can be realised because of faster change in the farming structure, adapted behaviour of farmers due to dramatic changes in the subsidisation scheme, technological progress, and price changes of factors and products in farmers’ benefit we conclude that most quantitative forecasts probably overestimate the changes in land allocation. Social objectives that may be incorporated with agricultural land use are analysed as well as the efficiency of direct payments to achieve these objectives. Distributional effects of income are taken into consideration, too. We recommend that politicians should decide as soon as possible to abolish or adirect payments stepwise over some years. Farmers should be aware of an end for the direct payments and should keep high flexibility to adapt to the future as easy as possible. Therefore, they should avoid investments with a high portion of sunk costs and they should analyse their capital use, especially on marginal land. Further on, they should try to reduce costs by increasing the size of farms and acres.",,,,,2003-03-17,52,3,2003,,Articles,ART,,3,Gunnar,Breustedt,,,,,,,,,,,,,,,,,,,,,150_org.pdf,PDF,Article Text,en
,Ansätze für ein produktspezifisches Marketing für Öko-Produkte im konventionellen Handel - eine Verbraucheranalyse im Elbetal,en_US,"Approaches for Product-specific Retail Marketing for Organic Food – A Consumer Survey in the Elbe-Valley Against the background of increasing political importance of organic farming combined with market potential for organic food, especially concerning conventional retailers, this article aims to improve organic marketing for retailers by means of product-specific analysis of consumers purchase behaviour. The main research aspects based on a consumer survey are preference testing and attitude measuring to explain consumers purchase behaviour concerning selected products. The preference test furthermore offered the possibility to examine the impact of substitutes produced by other environmentally friendly production methods and to estimate the market potential for organic food. The findings of this research are firstly hints on market potential for organic food considering the competitive situation under price impact and secondly product specific approaches to improve retail marketing for organic food, in order to facilitate to tap the market potential. These are for instance product-specific price differentiation and the reduction of consumers insecurity against some environmentally friendly ways of production especially with regard to growing grains or animal husbandry.",,,,,2003-03-17,52,3,2003,,Articles,ART,,4,Antje,Wirthgen,,,,,,,,,,,,,,,,,,,,,151_org.pdf,PDF,Article Text,en
,Modellgestützte Politikberatung in der Agrar- und Agrarumweltpolitik - Vorwort,de_DE,"Dieser Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2003-04-29,52,4,2003,,Articles,ART,,1,Jürgen,Zeddies,,,,,,,,,,,,,,,,,,,,,152_org.pdf,PDF,Article Text,de
,Aufbau und Anwendung des FAL-Modellverbunds für die Politikberatung,en_US,"Structure and Application of the FAL’s Economic Modelling Group for Policy AssessmentThe FAL model group combines several market, regional and farm models for comprehensive policy impact assessments. Since 1996, policy impact analyses have been provided at the request of the German Agricultural Ministry with respect to the design of direct payments, the Agenda 2000, the Mid-term Review, the Enlargement of the EU as well as several other policy measures. This article gives an overview of the models available as part of the model group, specifically describes the design of the representative farm group model, and provides results with respect to the impacts of the Mid-term Review. The paper ends with a discussion of the experiences gained in model based policy consulting and the implications for future developments.",,,,,2003-04-29,52,4,2003,,Articles,ART,,2,Marcus,Bertelsmeier,Werner,Kleinhanss,Frank,Offermann,,,,,,,,,,,,,,,,,153_org.pdf,PDF,Article Text,en
,Indikatoren einer nachhaltigen Landwirtschaft im Regionalisierten Agrar- und Umweltinformationssystem für die Bundesrepublik Deutschland (RAUMIS),en_US,"Indicators for a Sustainable Land Use in the Regionalised Agricultural and Environmental Information System for Germany(RAUMIS)According to the formulation of a political concept which centres on the principles of sustainable agricultural land use, agri-environmental aspects have gained an accretive importance within model based policy consultation. In this context, the following article illustrates the Regionalised Agricultural and Environmental Information System RAUMIS. It describes the state of development of the actual integration of agri-environmental indicators as well as analytical results and their applicatory suitability. The main intention of using indicators within RAUMIS is to achieve a differentiated illustration of environmental impacts of agricultural land use in the context of actual-state analysis and prospective simulations.",,,,,2003-04-29,52,4,2003,,Articles,ART,,3,Christian,Julius,Christine,Moeller,Bernhard,Osterburg,Stefan,Sieber,,,,,,,,,,,,,,,154_org.pdf,PDF,Article Text,en
,Coupling of Agricultural Economic and Hydrological Models,en_US,"The objective of the paper is to show the potential of interdisciplinary model networks consisting of agricultural economic and natural science models performing integrated impact assessments of agri-environmental policies. The potentials are exemplified using a coupling of the agricultural sector model RAUMIS with the hydrological models GROWA98 and WEKU in the scope of diffuse agricultural nitrogen immission into waterbodies. A brief classification of applied indicators is given. A key element for policy impact analyses are the relationships between the environmental indicator categories Driving Force, State and Response. The major relationships within this environmental scope as well as the modeling are explained. The presented model network represents a first area wide, regionally differentiated, consistent link-up between the Driving Force indicator “nitrogen balance surplus”, the State indicator “nitrogen(nitrate)concentration” and the response indicators. The results show that due to the local characteristics quite different shares of the agricultural nitrogen surplus finally enters the ground and surface waters. Hence, assessing the trade-offs of agri-environmental water protection measures requires an inclusion of natural local characteristics. The integrated consideration of the complex relationships and a comprehensive implementation of local characteristics allows to develop more efficient water pollution control measures.",,,,,2003-04-29,52,4,2003,,Articles,ART,,4,Horst,Gömann,Peter,Kreins,Ralf,Kunkel,Frank,Wendland,,,,,,,,,,,,,,,155_org.pdf,PDF,Article Text,en
,Analysis of the Impacts of Different Agrarian Policy Scenarios on the Profitability of Grassland Management in Water Protection Areas by Use of a Farm Planning Programme,en_US,"The present study is based on micro-simulations on the farm level (7 dairy farms in Lower Saxony). It shows the effect of transformation of livestock premiums in hectare premiums on the profitability of grassland management. The following scenarios were analysed: Introduction of a grassland premium (77 €/ha), increase of the grassland premium to 179 €/ha and abolition of the maize premium, uniform area premium (307 €/ha), combination model (crop premium 307 €/ha, grassland premium 205 €/ha, dropping of all animal premiums except for the milk and bull premiums). The calculations show, that a grassland premium of 77 €/ha would not lead to any considerable adjustment reactions. The simultaneous dropping of the maize premium and the increase in the grassland premium (179 €/ha) would lead to small advantages for the grassland economy. A uniform hectare premium (307 €/ha) would lead to strong income redistributions between the examined enterprises (up to +/-50 €/ha). Loss of grassland on favourable sites would continue. On unfavourable sites grassland fallow would considerably increase. The combination model would lead to less serious income redistributions. Taking along effects on marginally used grassland and the rise of land rental prices would be less pronounced. Grassland fallow will not have any significant effects on the quality of the groundwater recharge. With regards to nature conservation aims substantial problems will arise, since the extensive use of pasture will not be partially financed any more through animal premiums.",,,,,2003-04-29,52,4,2003,,Articles,ART,,5,Manfred,Bathke,,,,,,,,,,,,,,,,,,,,,156_org.pdf,PDF,Article Text,en
,Interactive Programming in Agricultural and Environmental Programme Planning,en_US,"Planning agricultural and environmental programmes has become a complex task. In this paper we show how interactive programming can help to solve such complex policy decision-making problems. The basic linear programming model is implemented with Excel. We show, for a hypothetical agricultural and environmental programme, how the approach can be used in an interactive way between scientists and policy decision-makers. The approach allows to visually demonstrate and quickly assess the consequences of changing assumptions and framework conditions on the programme design. It could effectively improve the quality of policy decision-making support; it requires the actors’ willingness, of course, to engage in a real dialogue.",,,,,2003-04-29,52,4,2003,,Articles,ART,,6,Dieter,Kirschke,Kurt,Jechlitschka,,,,,,,,,,,,,,,,,,,157_org.pdf,PDF,Article Text,en
,Analysis of Trade and Environmental Policy Options on the Basis of a National Agricultural Sector Model with Multifunctional Outputs,en_US,"SummaryStudies on liberalisation normally do not take into account the external benefits and costs of agriculture. Empirical studies on the valuation of externalities should be integrated into quantitative modelling. MULTSIM is a national supply model of agriculture. Besides commodity output the model depicts also external benefit linked to landscape preservation and external environmental costs of agriculture. Internalisation scenarios are defined showing that the reduction of commodity-linked support and the introduction of land subsidies and intermediate input taxes have differentiated impacts on the farm types’ competitiveness. A comprehensive policy approach to multifunctional agriculture requires market feedbacks to be taken into account. Internalising externalities may lead to a strong reduction of commodity output quantities. This gives rise to expectations that commodity prices would increase, which in turn would dampen the production impacts. As a consequence MULTSIM should be regarded as a bridge tool that may be linked to microeconomic based multi market models and agricultural trade models. A further strain of model development is an improved consideration of multiple policy objectives.",,,,,2003-04-29,52,4,2003,,Articles,ART,,7,Gerald,Weber,,,,,,,,,,,,,,,,,,,,,158_org.pdf,PDF,Article Text,en
,Wechsel in der Schriftleitung der AGRARWIRTSCHAFT,de_DE,"Dieser Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2003-10-13,52,5,2003,,Articles,ART,,1,Harald,von Witzke,,,,,,,,,,,,,,,,,,,,,159_org.pdf,PDF,Article Text,de
,A Hedonic Pricing Model for German Wine,en_US,"We develop a hedonic pricing model for German quality wine. Quality indicators for 4,141 wines are sensory awards received at the annual German wine competition and the legally required quality category as well as a set of control variables including regional origin, color, style, and their age at the time of judging. The data confirms that sensory quality awards have a significant and positive price impact. Moreover, we estimate significant relative differences between quality categories, growing regions and most of the control variables.",,,,,2003-10-24,52,5,2003,,Articles,ART,,2,Günter,Schamel,,,,,,,,,,,,,,,,,,,,,161_org.pdf,PDF,Article Text,en
,Bodenkauf als Reinvestitionsfalle - eine deduktive Zahlungsbereitschaftsanalyse,en_US,"This paper deals with the fiscally neutral transferability of profits from land sales according to § 6b EStG and its possible effect on the price for agricultural land. From the point of view of the single farm this tax norm has an excellent effect. Nevertheless, from the point of view of the whole agricultural sector the advantage of this tax norm is rather questionable both with regard to agriculture in special as well as the national economy in general. The rising prices for land due to § 6b EStG can have a negative effect on highly efficient farming businesses which are willing to expand, but have to finance the expansion soleley with the business earnings. Still, further disadvantages may result from § 6b EStG. Therefore this paper suggests an alternative way of using the margin of § 6b EStG, i.e. the introduction of a moderate flat rate taxation to mitigate the negative effects of § 6b EStG without limiting the positive ones.",,,,,2003-10-24,52,5,2003,,Articles,ART,,3,Enno,Bahrs,,,,,,,,,,,,,,,,,,,,,160_org.pdf,PDF,Article Text,en
,Die Analyse von Lebensmittelpräferenzen mit Hilfe von Discrete-Choice-Modellen am Beispiel ökologisch produzierter Wurstwaren,en_US,"Preferences for food products are usually analysed employing multi-attributive Attitude Measurement, Conjoint Analysis and recently Discrete Choice Modelling approaches. From a theoretical point of view, Choice Modelling based on random utility theory (RUT) outperforms traditional Conjoint Analysis because of its microeconomic foundation. In this article, consumers' choice behaviour on ecologically produced sausages is analysed. A market experiment reveals brand specific reactions towards the 'Bio-Siegel', a German quality label for organic food introduced in 2002. It can also be shown that regular customers of organic food are much less price sensitive than occasional buyers.",,,,,2003-10-24,52,5,2003,,Articles,ART,,4,Ulrich,Enneking,,,,,,,,,,,,,,,,,,,,,162_org.pdf,PDF,Article Text,en
,Beurteilung des Milchquotenbörsensystems in Deutschland,en_US,"In this paper the newly established rules for trading milk quotas in Germany are analyzed. These regulations have been in force since April 2000. Following a brief historical review of the quota system, the major changes in economic incentives regarding trading milk and the expected welfare implications are derived. Next, the effects of the new trading rules on quota prices in comparison to a reference system (sealed bid double auction) are discussed. In the empirical part the significance of the theoretical effects is illustrated. Recent changes in the regulations for quota trade are shown to have little effect in terms of mitigating these problems.",,,,,2003-10-24,52,6,2003,,Articles,ART,,1,Bernhard,Brümmer,Jens-Peter,Loy,Carsten,Struve,,,,,,,,,,,,,,,,,163_org.pdf,PDF,Article Text,en
,Institutionelle Grundlagen der Agrarprotektion: Eine polit-ökonomische Analyse der Agrarpolitik in den Mittel- und Osteuropäischen Ländern,en_US,"The impact of political institutions, e.g. the organization of legislature, election and party systems, on agricultural protection has hardly been taken into account explicitly in theoretical and empirical studies, yet. In this framework the paper investigates to what extent political institutions explain observed variances in the political power of the agrarian population in the ten Central and Eastern European Countries / Candidates (CEEC) applying for an accession to the EU. Moreover, it is analyzed to what extent EU-accession will be politically feasible given the specific political and economic framework conditions of the individual states. In particular, empirical analyses imply the following results: (i) The political power of the agrarian population varies significantly among the analyzed countries. (ii) The political weights are significantly determined by political institutions. (iii) Analyzing to what extent EU-accession is politically feasible in the CEEC-states we can show that political feasibility of EU-accession crucially depends on keeping the rule of financial solidarity. Contrary, keeping the rule of financial solidarity implies that future CAP will become even more inefficient in economic terms.",,,,,2003-10-24,52,6,2003,,Articles,ART,,2,Christian H.C.A.,Henning,Kim Carolin,Krause,Carsten,Struve,,,,,,,,,,,,,,,,,164_org.pdf,PDF,Article Text,en
,Komparative Kostennachteile: Agrar- und Ernährungsgüterproduktion von Entwicklungsländern im internationalen Wettbewerb,de_DE,"Dieser Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2003-10-24,52,6,2003,,Articles,ART,,3,Harald,von Witzke,,,,,,,,,,,,,,,,,,,,,122_org.pdf,PDF,Article Text,de
,Research in Agricultural Futures Markets: Integrating the Finance and Marketing Approach,en_US,"In a brief literature review, we discuss how our insight into the grounds of existence of futures markets has changed from the initial insurance perspective, to the arbitrage perspective, to the portfolio perspective, and to the current institutional perspective. We discuss futures market research within agricultural marketing, on the one hand, and within finance, on the other hand. The research within these two disciplines may be considered complementary. Subsequently, a new research model is presented which integrates both strains of research. The new research model is illustrated for the Dutch hog industry. This model is a powerful instrument in the development of new commodity futures contracts. Finally, a future research agenda for agricultural economists is presented.",,,,,2003-10-24,52,6,2003,,Articles,ART,,4,Joost M.E.,Pennings,Thorsten M.,Egelkraut,,,,,,,,,,,,,,,,,,,165_org.pdf,PDF,Article Text,en
,Die Neue Handelstheorie: Stiefkind der Agrarökonomie? - Einige Anwendungen für den Zuckermarkt -,de_DE,"Dieser Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2003-10-24,52,7,2003,,Articles,ART,,1,Harald,von Witzke,,,,,,,,,,,,,,,,,,,,,166_org.pdf,PDF,Article Text,de
,Können Produktionsentscheidungen als Investitionsentscheidungen modelliert werden?,en_US,"Interviews with Swiss farmers lead to the hypotheses that production decisions, also in crop growing, are not made annually, but similarly to investment decisions in the long run. This hypothesis is backed by non-parametric time-series analysis for Switzerland and Germany. This creates a theoretical basis for combining Positive Mathematical Programming with flexibility constraints in optimization models. Results of the forecasting model SILAS show that forecasting quality is improved through this approach.",,,,,2003-10-24,52,7,2003,,Articles,ART,,2,Stefan,Mann,Gabriele,Mack,Ali,Ferjani,,,,,,,,,,,,,,,,,169_org.pdf,PDF,Article Text,en
,Effective prices' as a device to analyze the impact of the Agenda 2000 and Mid-Term Review policy reforms on dairy and beef: measurement and simulation results for Germany,en_US,"The Agenda 2000 and the Mid-Term Review introduced a complex combination of policy changes for beef and dairy. It is not clear to what extent the package will influence production decisions. This study proposes a simple method for incorporating the effect of direct payments into the analysis of cow herd response. Effective support prices are derived by adjusting the Agenda 2000 reductions in dairy and beef support prices to reflect the compensation given to farmers in terms of direct payments and premiums. Following the Mid-Term Review different assumptions are made with respect to the extent to which these payments are, or are perceived as being coupled to production. The effective prices obtained for Germany are used in a simulation model to assess the impact of the latest agricultural policy reforms on German milk and beef producers.",,,,,2003-10-24,52,7,2003,,Articles,ART,,3,Roelof A.,Jongeneel,,,,,,,,,,,,,,,,,,,,,167_org.pdf,PDF,Article Text,en
,Welfare economics of conventional vs. alternative agriculture,en_US,"We develop a agricultural model assuming that conventional production is causing environmental externalities while more benign alternative production methods generate non-market amenity benefits and obtain a price premium in the marketplace. We analyze policies targeting external benefits and costs to capture interaction effects: polluting input taxes reduce the returns and subsidies needed to induce more benign production. Thus, it is only optimal to subsidize if the additional marginal amenity benefit exceeds the marginal external cost reductions due to the input tax. Terms of trade effects imply that large (land abundant) exporters have strategic incentives to overvalue external costs while large (land scarce) importers have strategic incentives to overrate non-market benefits. The model may serve to explain principal negotiating positions of major players within the WTO agriculture-environment sphere.",,,,,2003-10-24,52,7,2003,,Articles,ART,,4,Günter,Schamel,,,,,,,,,,,,,,,,,,,,,168_org.pdf,PDF,Article Text,en
,Bewertung nicht-marktfähiger Leistungen der Landwirtschaft - eine Herausforderung für die Forschung,de_DE,"Dieser Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2003-12-04,52,8,2003,,Articles,ART,,1,Karin,Holm-Müller,,,,,,,,,,,,,,,,,,,,,170_org.pdf,PDF,Article Text,de
,Verfahren zur Korrektur des Embedding-Effektes bei der Kontingenten Bewertung - Approaches to calibrate the amount of embedding in contingent valuation,en_US,"The use of economic tools such as the benefit-cost analysis often requires determining non-market values of environmental goods. One of the appropriate measures to determine these values is the contingent valuation. As a stated preference technique it allows to measure non-use values as well as to value future states of the environment. However, the credibility of the contingent valuation is still under debate because people only state a hypothetical willingness to pay. One of the most debated elicitation effects of this method is the embedding effect. In this paper, two approaches to take account of that effect are presented. Both use follow-up questions in order to obtain self reports from respondents. Each approach was employed in one of two contingent valuation studies which aimed at determining people’s willingness to pay for nature conservation. The answers to the debriefing questions are analysed for each survey both for the whole sample as well as separately for users and non-users of the good in question.",,,,,2003-12-04,52,8,2003,,Articles,ART,,2,Jürgen,Meyerhoff,,,,,,,,,,,,,,,,,,,,,172_org.pdf,PDF,Article Text,en
,Bewertung von Landschaftsfunktionen mit Choice Experiments - Valuation of landscape functions using choice experiments,en_US,"The first application of choice experiments as an environmental valuation method in Germany clearly demonstrates the potential of this method for the valuation of agriculture's multifunctionality. Choice experiments are a reasonable enhancement of the conjoint analysis as they are capable of calculating the theoretically correct welfare measures in the form of implicit prices. In combination with business and ecological models this allows for the comprehensive valuation of agriculture's multifunctionality in the sense, that in addition to the supply or cost side of land use scenarios the demand or benefit side is accounted for. In this study the integrated ecological and economical valuation of land use scenarios was demonstrated for two different scenarios. The welfare changes for the regional population due to changes in the quality or quantity of several landscape functions like drinking water quality, biodiversity, food production and landscape aesthetics were calculated. The inclusion of both supply and demand in this cost-benefit study is an important step forward for the development of sustainable land use concepts.",,,,,2003-12-04,52,8,2003,,Articles,ART,,3,Kim,Schmitz,P. Michael,Schmitz,Tobias C.,Wronka,,,,,,,,,,,,,,,,,173_org.pdf,PDF,Article Text,en
,Valuing the non-market production of agriculture - Bewertung nicht-marktlicher Agrarproduktion,en_US,"As a consequence of the negotiations for a new agricultural policy of the EU the multifunctionality of agricultural production has come into new prominence in the public. The philosophy that subsidies for the agricultural sector should be calculated not only by ag-ricultural market production but also according to agricultural non-commodity production like e.g. the conservation of the countryside, makes it necessary to assess the social value of this part of agricul-tural production. In this paper we scrutinize the welfare theoretical background of the economic valuation of non-market production as well as the existing practical valuation techniques. Further, the applicability of these techniques to the valuation of agricultural non-commodity production is considered.",,,,,2003-12-04,52,8,2003,,Articles,ART,,4,Michael,Ahlheim,Oliver,Frör,,,,,,,,,,,,,,,,,,,171_org.pdf,PDF,Article Text,en
,Ermittlung der Nachfrage nach ökologischen Gütern der Landwirtschaft - Das Northeim-Projekt - The demand for ecological goods in decentralised agri-environmental payment schemes,en_US,"This paper presents a case study on the development and implementation of a decentralised and outcome-based agri-environmental payment scheme in a project region in central Germany. A research group from Goettingen University together with local actors designed the scheme which complies with the European Union’s Common Agricultural Policy. The core of the programme is the creation of a market for ecological goods, in this case: of plant diversity standards in agriculture. Supply is provided by the local farmers, who, in an open competitive bidding, offer to produce as much as they are willing to of the commodity in question. The local population has to be seen as the beneficiary of these environmental goods. In the project, it is represented by a Regional Advisory Board which expresses the demand for plant diversity (i) by defining the goods and (ii) by allocating the funds to the respective goods. Hence, these plant diversity goods are treated as merit goods. To justify this approach, results from a contingent valuation study that focused on the respondents’ decision behaviour are applied. These results show that the utility expected from the provision of these goods is substantial and that ecological goods are considered as personally relevant. Based on these findings, the paper discus-ses the provision of ecological goods as merit - as opposed to private - goods.",,,,,2003-12-05,52,8,2003,,Articles,ART,,5,Anke,Fischer,Sonja K.,Hespelt,Rainer,Marggraf,,,,,,,,,,,,,,,,,174_org.pdf,PDF,Article Text,en
,Die Expertenbewertung als Alternative zur Kontingenzbewertung - Expert valuation as an alternative to contingent valuation,en_US,"A lot of research is carried out on the Contingent Valuation Method to assess environmental goods. However, the method is rarely applied to quantify reimbursements for agri-environmental policy. In this paper, this contradiction is explained by conceptual shortcomings of the Contingent Valuation. It is suggested to discuss the utility of agri-environmental programs among experts. For that, a three-step methodology including a possible monetary evaluation is developed. The method is applied on agri-environmental programs in Switzerland.",,,,,2003-12-05,52,8,2003,,Articles,ART,,6,Stefan,Mann,,,,,,,,,,,,,,,,,,,,,175_org.pdf,PDF,Article Text,en
,Die monetäre Bewertung von Naturgütern zwischen ökonomischer Theorie und politischer Umsetzung - Monetary valuation of the natural environment - economic theory and application in environmental policy,en_US,"During the past 15 or so years, a considerable number of valuation studies have been published in German language concerning nature conservation mostly in the agrarian countryside, using the Contingent Valuation Method (CVM). These are documented here and briefly commented on. In the sequel, well-known objections in the literature against this method are discussed and rejected or at least attenuated, thereby referring to more comprehensive literature. Upon careful design, the results from CVM studies bear closer examination as to their reliability. It seems doubtful, however, and must even be regarded as refuted in some special cases that their very objective, as formulated from a rigorous microeconomic position, is achieved, that is the disclosure of the Compensating Variation (VC) or Equivalent Variation (EV), respectively. Respondents’ statements are influenced both by their experience in achieving a consumer surplus in everyday purchases and - more importantly - by normative, ethical, distributive and genuine political aspects. Intuitively, respondents realise the societal nature of the respective problems and are reluctant to communicate exclusively in individualistic terms of modern utility theory. It is argued that no adverse consequences ensue from this finding when CVM results are practically applied for the sake of improving economic allocation. Nature conservation policy should be more oriented towards CVM results rather than depend on the influence of political pressure groups.",,,,,2003-12-05,52,8,2003,,Articles,ART,,7,Ulrich,Hampicke,,,,,,,,,,,,,,,,,,,,,176_org.pdf,PDF,Article Text,en
,Aspekte der Agrarpolitik 2003,de_DE,"Dieser Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2004-01-12,53,1,2004,,Articles,ART,,1,Klaus-Dieter,Schumacher,,,,,,,,,,,,,,,,,,,,,118_org.pdf,PDF,Article Text,de
,Die Märkte für Getreide und Ölfrüchte,de_DE,"Dieser Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2004-01-12,53,1,2004,,Articles,ART,,2,Lutz Kersten,Kersten,,,,,,,,,,,,,,,,,,,,,116_org.pdf,PDF,Article Text,de
,Der Markt für Zucker,de_DE,"Dieser Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2004-01-12,53,1,2004,,Articles,ART,,3,Ulrich Sommer,Sommer,,,,,,,,,,,,,,,,,,,,,114_org.pdf,PDF,Article Text,de
,Der Markt für Milch,de_DE,"Dieser Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2004-01-12,53,1,2004,,Articles,ART,,4,Petra,Salamon,Marianne,Kurzweil,,,,,,,,,,,,,,,,,,,111_org.pdf,PDF,Article Text,de
,Der Markt für Obst,de_DE,"Dieser Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2004-01-12,53,1,2004,,Articles,ART,,5,Wilhelm,Ellinger,,,,,,,,,,,,,,,,,,,,,109_org.pdf,PDF,Article Text,de
,Der Markt für Gemüse,de_DE,"Dieser Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2004-01-12,53,1,2004,,Articles,ART,,6,Hans-Christoph,Behr,,,,,,,,,,,,,,,,,,,,,108_org.pdf,PDF,Article Text,de
,Die Marktordnungen für Obst und Gemüse,de_DE,"Dieser Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2004-01-12,53,1,2004,,Articles,ART,,7,Hans-Christoph,Behr,,,,,,,,,,,,,,,,,,,,,106_org.pdf,PDF,Article Text,de
,Der Markt für Wein,de_DE,"Dieser Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2004-01-12,53,1,2004,,Articles,ART,,8,Dieter,Hoffmann,,,,,,,,,,,,,,,,,,,,,104_org.pdf,PDF,Article Text,de
,Konventioneller und ökologischer Landbau als Wettbewerbsstrategien für Unternehmen mit Marktfruchtbau,de_DE,"Dieser Artikel ist nur in deutscher Sprache verfügbar. 
The article is only available in German language.",,,,,2004-02-02,53,2,2004,,Articles,ART,,1,Sebastian,Köber,Volker,Petersen,,,,,,,,,,,,,,,,,,,94_org.pdf,PDF,Article Text,de
